ticker,name,ipo_date,ipo_price,shares_offered,offering_size,exchange,underwriter,sector,industry,d1_open,d1_high,d1_low,d1_close,d1_volume,d2_open,d2_high,d2_close,d2_volume,d5_close,ret_d1,ret_d5,is_spac,is_biotech,bookrunner,all_underwriters,d1_open_ret,d1_close_ret,d1_high_ret,d1_intraday_range,d2_close_ret,d5_close_ret,price_tier,is_high_price,size_tier,is_large_offering,is_hot_sector,is_ai,is_fintech,is_ev_clean,has_top_underwriter,ipo_year,ipo_month,ipo_quarter,ipo_weekday,d1_pop,d2_pop,any_d1d2_pop
GAN,GAN Limited,2020-05-05,8.5,0,0.0,NASDAQ,,Information Technology,Software,10.600000381469727,14.140899658203125,10.600000381469727,13.25,6082135,13.0,14.850000381469727,13.859999656677246,2634333,15.039999961853027,25.0,41.88999938964844,0,False,,,24.705886840820312,55.88235294117647,66.363525390625,33.40470895570327,63.05881949032055,76.94117602180033,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,5,2,1,True,True,True
AYLA,Ayala Pharmaceuticals Inc,2020-05-08,15.0,0,0.0,NASDAQ,,Health Care,Biotechnology,15.65999984741211,16.5,14.630000114440918,15.029999732971191,1728710,15.390000343322754,15.399700164794922,15.149999618530273,125498,15.0,-4.019999980926514,-4.210000038146973,0,True,,,4.399998982747388,0.19999821980793975,10.000000000000009,11.941250981992242,0.9999974568684955,0.0,mid_15_30,False,small_under_100M,False,False,False,False,False,False,2020,5,2,4,False,False,False
KC,KINGSOFT CLOUD HOLDINGS-ADR,2020-05-08,17.0,30000000,510000000.0,NASDAQ GS,"JPM,CICCHK,CS,UBS",Information Technology,Prepackaged Software,20.3700008392334,23.950000762939453,20.350000381469727,23.84000015258789,15162502,25.93000030517578,26.889999389648438,25.969999313354492,10437022,22.489999771118164,17.030000686645508,10.40999984741211,0,False,"JPM,CICCHK,CS,UBS",,19.82353434843176,40.235295015222896,40.88235742905562,17.67304974546682,52.76470184326172,32.29411630069507,mid_15_30,False,large_500M_1B,False,True,False,False,False,True,2020,5,2,4,True,True,True
ADCT,ADC THERAPEUTICS SA,2020-05-15,19.0,12245600,233000000.0,New York,"MS,BofA,US",Health Care,Pharmaceuticals,30.0,30.780000686645508,28.5,29.649999618530273,4937406,30.0,30.989999771118164,30.0,819835,34.33000183105469,-1.1699999570846558,14.430000305175781,0,True,"MS,BofA,US",,57.89473684210527,56.05262957121197,62.000003613923724,7.600002288818359,57.89473684210527,80.68422016344572,mid_15_30,False,mid_100M_500M,False,False,False,False,False,True,2020,5,2,4,True,True,True
NOVSU,AppHarvest Inc,2020-05-15,10.0,0,0.0,NASDAQ,,,,9.970000267028809,10.0,9.899999618530273,9.949999809265137,2425946,9.97189998626709,9.989999771118164,9.930000305175781,81799,9.9399995803833,-0.20000000298023224,-0.30000001192092896,1,False,,,-0.2999973297119096,-0.500001907348635,0.0,1.003012826393113,-0.6999969482421875,-0.6000041961669922,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,5,2,4,False,False,False
SLQT,SELECTQUOTE INC,2020-05-21,20.0,28500000,570000000.0,New York,JOINT LEADS,Financials,Insurance Agents,26.200000762939453,28.25,26.200000762939453,27.0,20369113,26.700000762939453,27.34000015258789,26.5,3335367,28.450000762939453,3.049999952316284,8.59000015258789,0,False,JOINT LEADS,,31.000003814697273,35.00000000000001,41.25000000000001,7.824424341087506,32.49999999999999,42.25000381469726,mid_15_30,False,large_500M_1B,False,False,False,False,False,False,2020,5,2,3,True,True,True
NARI,Inari Medical Inc,2020-05-22,19.0,0,0.0,NASDAQ,,Health Care,Surgical Instruments,41.29999923706055,47.88999938964844,39.54999923706055,42.5099983215332,6791293,44.790000915527344,47.45000076293945,45.099998474121094,948762,44.0,2.930000066757202,6.539999961853027,0,False,,,117.36841703716077,123.73683327122737,152.05262836657073,20.193705342987013,137.36841302168997,131.57894736842107,mid_15_30,False,small_under_100M,False,False,False,False,False,False,2020,5,2,4,True,True,True
PLRX,PLIANT THERAPEUTICS INC,2020-06-03,16.0,9000000,144000000.0,NASDAQ GS,"CITI,US,PIPR",Health Care,Pharmaceuticals,25.0,26.0,21.049999237060547,21.299999237060547,4269207,22.5,24.40999984741211,23.360000610351562,772322,22.0,-14.800000190734863,-12.0,0,True,"CITI,US,PIPR",,56.25,33.12499523162842,62.5,19.800003051757812,46.000003814697266,37.5,mid_15_30,False,mid_100M_500M,False,False,False,False,False,True,2020,6,2,2,True,True,True
WMG,WARNER MUSIC GROUP CORP-CL A,2020-06-03,25.0,77000000,1925000000.0,NASDAQ GS,"MS,BofA,CITI,CS,GS,JPM",Communication Services,Amusement,27.0,30.850000381469727,26.989999771118164,30.1200008392334,34950894,32.5099983215332,34.7599983215332,30.0,13099627,32.0,11.5600004196167,18.520000457763672,0,False,"MS,BofA,CITI,CS,GS,JPM",,8.000000000000007,20.480003356933587,23.40000152587891,14.29629855685764,19.999999999999996,28.000000000000004,mid_15_30,False,mega_1B_plus,True,False,False,False,False,True,2020,6,2,2,True,False,True
AMTI,Applied Molecular Transport Inc,2020-06-05,14.0,0,0.0,NASDAQ,,Health Care,Pharmaceuticals,26.0,26.0,17.149999618530273,17.979999542236328,3479293,18.059999465942383,21.719999313354492,18.989999771118164,917556,24.040000915527344,-30.850000381469727,-7.539999961853027,0,False,,,85.71428571428572,28.428568158830924,85.71428571428572,34.038463005652794,35.642855507986894,71.71429225376673,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,6,2,4,True,True,True
